Instrument,Date,Operating Profit before Non-Recurring Income/Expense
DK0015216675,2017-12-31T00:00:00Z,-148456.4183
DK0015216675,2018-12-31T00:00:00Z,-84445.28937
DK0015216675,2019-12-31T00:00:00Z,-243803.3257
DK0015216675,2020-12-31T00:00:00Z,-221335.1764
DK0010264290,,
DK0010036821,,
DK0010173814,2000-12-31T00:00:00Z,70223508.25
DK0010173814,2001-12-31T00:00:00Z,65008186.19
DK0010173814,2002-12-31T00:00:00Z,58297841.54
DK0010173814,2003-12-31T00:00:00Z,54888717.61
DK0010173814,2004-12-31T00:00:00Z,31681979.76
DK0010173814,2005-12-31T00:00:00Z,82991778.79
DK0010173814,2006-12-01T00:00:00Z,
DK0010173814,2007-12-01T00:00:00Z,
DK0010173814,2008-12-01T00:00:00Z,
