Instrument,Total Assets,Date
DK0010234467,4447153055.89413,2011-12-31T00:00:00Z
DK0010234467,5640394960.3624,2012-12-31T00:00:00Z
DK0010234467,5036305333.38248,2013-12-31T00:00:00Z
DK0010234467,4281605927.1776,2014-12-31T00:00:00Z
DK0010234467,3545213772.22853,2015-12-31T00:00:00Z
DK0010234467,3413460177.24171,2016-12-31T00:00:00Z
DK0010234467,3604713012.36279,2017-12-31T00:00:00Z
DK0010234467,3339579461.50184,2018-12-31T00:00:00Z
DK0010234467,3532272590.81357,2019-12-31T00:00:00Z
DK0010234467,3357625894.55715,2020-12-31T00:00:00Z
DK0010234467,3524654078.43437,2021-12-31T00:00:00Z
DK0010234467,4296284566.77271,2022-12-31T00:00:00Z
DK0061277894,,
DK0060655629,983656835.241489,2000-12-31T00:00:00Z
DK0060655629,819305332.534452,2001-12-31T00:00:00Z
DK0060655629,993890043.988062,2002-12-31T00:00:00Z
DK0060655629,1182285159.21953,2003-12-31T00:00:00Z
DK0060655629,1456752275.50481,2004-12-31T00:00:00Z
DK0060655629,1342939513.75987,2005-12-31T00:00:00Z
DK0060655629,1769112897.51399,2006-12-31T00:00:00Z
DK0060655629,1881376859.82772,2007-12-31T00:00:00Z
DK0060655629,1617497041.30896,2008-12-31T00:00:00Z
DK0060655629,1789203148.15171,2009-12-31T00:00:00Z
DK0060655629,2486239811.85595,2010-12-31T00:00:00Z
DK0060655629,2227867142.60839,2011-12-31T00:00:00Z
DK0060655629,2178886962.06116,2012-12-31T00:00:00Z
DK0060655629,2268748479.59898,2013-12-31T00:00:00Z
DK0060655629,1990162964.88862,2014-12-31T00:00:00Z
DK0060655629,1840216537.15184,2015-12-31T00:00:00Z
DK0060655629,1840977943.8829,2016-12-31T00:00:00Z
DK0060655629,2145097596.75054,2017-12-31T00:00:00Z
DK0060655629,3399327261.27759,2018-12-31T00:00:00Z
DK0060655629,4032272590.81357,2019-12-31T00:00:00Z
DK0060655629,4432735867.63837,2020-12-31T00:00:00Z
DK0060655629,4697041510.58788,2021-12-31T00:00:00Z
DK0060655629,4906502368.03086,2022-12-31T00:00:00Z
DK0010230986,,
DK0010008028,54180377.5873834,2000-12-31T00:00:00Z
DK0010008028,51441821.44997,2001-12-31T00:00:00Z
DK0010008028,49977228.044865,2002-12-31T00:00:00Z
DK0010008028,52452909.8741448,2003-12-31T00:00:00Z
DK0010008028,54924940.2622987,2004-12-31T00:00:00Z
DK0010008028,46680482.1113811,2005-12-31T00:00:00Z
DK0010008028,56485409.7315674,2006-12-31T00:00:00Z
DK0010008028,60930501.174628,2007-12-31T00:00:00Z
DK0010008028,57309187.9097552,2008-12-31T00:00:00Z
DK0010008028,55268535.8015664,2009-12-31T00:00:00Z
DK0010008028,52247495.6015942,2010-12-31T00:00:00Z
DK0010008028,60029601.2537002,2011-12-31T00:00:00Z
DK0010008028,63665593.1483579,2012-12-31T00:00:00Z
DK0010008028,69680439.3498212,2013-12-31T00:00:00Z
DK0010008028,65410785.3226228,2018-12-31T00:00:00Z
DK0010008028,65410785.3226228,2018-12-31T00:00:00Z
DK0010008028,62329630.7415191,2019-12-31T00:00:00Z
DK0010008028,61039491.8258814,2020-12-31T00:00:00Z
DK0010008028,31388578.8548276,2021-12-31T00:00:00Z
DK0010025113,76396871.1299821,2000-12-31T00:00:00Z
DK0010025113,85294667.4655482,2001-12-31T00:00:00Z
DK0010025113,93423006.7467221,2002-12-31T00:00:00Z
